transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00636,2026-01-03T03:01:19Z,201.36,atm_withdrawal,AE,True,False
txn_0000001,card_00198,2026-01-20T03:23:09Z,91.92,grocery,US,False,False
txn_0000002,card_00509,2026-01-05T16:45:29Z,5.99,electronics,DE,True,False
txn_0000003,card_00846,2026-01-16T13:06:55Z,4.08,entertainment,GB,False,False
txn_0000004,card_00432,2026-01-11T21:31:26Z,14.8,atm_withdrawal,AE,False,False
txn_0000005,card_00554,2026-01-29T07:19:26Z,48.2,entertainment,GB,False,False
txn_0000006,card_00666,2026-01-25T18:42:27Z,70.5,electronics,US,False,False
txn_0000007,card_00854,2026-01-03T15:26:28Z,46.22,restaurant,IN,True,False
txn_0000008,card_00156,2026-01-04T08:44:14Z,13.95,atm_withdrawal,GB,False,False
txn_0000009,card_00088,2026-01-12T16:22:08Z,142.06,online_retail,AE,True,False
txn_0000010,card_00667,2026-01-29T01:46:48Z,6.63,online_retail,US,True,False
txn_0000011,card_00462,2026-01-13T11:22:13Z,87.12,atm_withdrawal,DE,False,False
txn_0000012,card_00038,2026-01-27T12:05:08Z,105.13,restaurant,IN,True,False
txn_0000013,card_00358,2026-01-09T02:18:47Z,44.27,atm_withdrawal,GB,True,False
txn_0000014,card_00681,2026-01-30T10:02:26Z,55.08,fuel,US,True,False
txn_0000015,card_00231,2026-01-15T14:16:16Z,18.9,atm_withdrawal,IN,True,False
txn_0000016,card_00819,2026-01-01T13:32:48Z,33.94,grocery,IN,True,False
txn_0000017,card_00415,2026-01-16T08:57:49Z,46.5,atm_withdrawal,SG,True,False
txn_0000018,card_00212,2026-01-08T12:15:30Z,8.8,entertainment,IN,False,False
txn_0000019,card_00412,2026-01-15T16:59:41Z,32.1,atm_withdrawal,AE,True,False
txn_0000020,card_00877,2026-01-28T15:56:50Z,16.4,utilities,US,False,False
txn_0000021,card_00585,2026-01-16T17:14:56Z,135.67,entertainment,AE,True,False
txn_0000022,card_00834,2026-01-11T16:00:47Z,428.36,travel,IN,True,True
txn_0000023,card_00485,2026-01-18T08:50:05Z,50.07,atm_withdrawal,DE,True,False
