transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00726,2026-01-20T04:17:03Z,335.51,utilities,IN,False,False
txn_0000001,card_00325,2026-01-13T01:08:39Z,14.08,electronics,DE,True,False
txn_0000002,card_00127,2026-01-15T04:58:56Z,8.38,restaurant,AE,True,False
txn_0000003,card_00416,2026-01-07T10:32:41Z,7.12,entertainment,US,True,False
txn_0000004,card_00180,2026-01-27T02:39:14Z,213.25,online_retail,DE,False,False
txn_0000005,card_00476,2026-01-01T08:46:48Z,171.44,utilities,AE,False,False
txn_0000006,card_00375,2026-01-04T14:11:23Z,120.96,restaurant,DE,False,False
txn_0000007,card_00074,2026-01-23T09:16:46Z,76.4,fuel,DE,True,True
txn_0000008,card_00169,2026-01-09T02:59:55Z,73.96,grocery,IN,True,False
txn_0000009,card_00391,2026-01-29T16:07:44Z,95.03,pharmacy,SG,False,False
txn_0000010,card_00451,2026-01-15T03:05:11Z,8.73,restaurant,SG,True,False
txn_0000011,card_00827,2026-01-23T10:58:56Z,292.46,online_retail,DE,True,False
txn_0000012,card_00832,2026-01-23T03:01:03Z,27.23,travel,DE,True,False
txn_0000013,card_00643,2026-01-25T15:44:10Z,25.48,restaurant,DE,False,False
txn_0000014,card_00182,2026-01-21T04:48:17Z,221.3,utilities,GB,False,False
txn_0000015,card_00056,2026-01-14T09:08:41Z,976.5,utilities,GB,False,False
txn_0000016,card_00225,2026-01-15T18:47:01Z,70.06,utilities,DE,False,True
txn_0000017,card_00890,2026-01-17T08:35:42Z,33.92,atm_withdrawal,AE,True,False
txn_0000018,card_00407,2026-01-03T16:10:48Z,504.34,pharmacy,US,False,False
txn_0000019,card_00584,2026-01-03T22:44:27Z,16.76,online_retail,GB,False,False
txn_0000020,card_00579,2026-01-03T22:28:30Z,26.33,entertainment,DE,True,False
txn_0000021,card_00603,2026-01-30T09:59:59Z,132.86,grocery,AE,True,False
txn_0000022,card_00328,2026-01-12T22:13:58Z,36.51,grocery,AE,True,False
txn_0000023,card_00796,2026-01-21T17:16:46Z,201.76,entertainment,DE,True,False
txn_0000024,card_00337,2026-01-21T19:56:06Z,64.76,utilities,IN,False,False
txn_0000025,card_00728,2026-01-13T09:06:53Z,162.78,grocery,GB,False,False
txn_0000026,card_00839,2026-01-03T00:24:43Z,170.98,travel,GB,False,False
txn_0000027,card_00713,2026-01-21T02:12:13Z,241.72,pharmacy,IN,True,False
txn_0000028,card_00729,2026-01-15T14:15:22Z,44.91,entertainment,IN,True,False
txn_0000029,card_00863,2026-01-12T02:48:24Z,702.51,travel,SG,False,False
txn_0000030,card_00492,2026-01-25T21:50:48Z,14.73,restaurant,AE,True,False
txn_0000031,card_00779,2026-01-13T06:29:43Z,75.7,pharmacy,SG,True,False
txn_0000032,card_00898,2026-01-15T11:32:08Z,68.67,electronics,IN,False,False
txn_0000033,card_00139,2026-01-10T14:24:53Z,325.11,electronics,DE,False,False
txn_0000034,card_00076,2026-01-25T22:43:28Z,76.99,restaurant,GB,False,False
txn_0000035,card_00049,2026-01-27T17:14:58Z,209.71,pharmacy,GB,False,False
txn_0000036,card_00159,2026-01-28T08:40:51Z,18.07,grocery,GB,True,False
txn_0000037,card_00032,2026-01-22T20:55:09Z,44.86,grocery,US,True,False
txn_0000038,card_00517,2026-01-21T13:38:57Z,18.29,fuel,GB,False,False
txn_0000039,card_00350,2026-01-11T05:00:41Z,99.12,grocery,SG,False,False
