transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00329,2026-01-05T10:21:25Z,electronics,False,False,dev_000804,GB,3710
txn_0000501,card_00747,2026-01-15T08:27:38Z,restaurant,False,False,dev_001921,AE,2905
txn_0000502,card_00309,2026-01-09T17:17:33Z,restaurant,True,False,dev_002904,US,13401
txn_0000503,card_00092,2026-01-25T05:34:56Z,electronics,True,False,dev_000710,SG,14296
txn_0000504,card_00643,2026-01-01T00:54:39Z,atm_withdrawal,True,False,dev_003013,DE,6062
txn_0000505,card_00242,2026-01-02T05:14:38Z,fuel,False,False,dev_002248,SG,2408
txn_0000506,card_00292,2026-01-29T14:57:00Z,atm_withdrawal,False,False,dev_001491,SG,53214
txn_0000507,card_00134,2026-01-06T19:34:11Z,utilities,False,False,dev_003571,IN,165203
txn_0000508,card_00693,2026-01-24T08:03:53Z,atm_withdrawal,True,False,dev_000226,AE,6537
txn_0000509,card_00353,2026-01-02T02:41:07Z,utilities,False,False,dev_001604,GB,13623
txn_0000510,card_00697,2026-01-29T18:42:34Z,pharmacy,True,False,dev_004104,SG,4080
txn_0000511,card_00777,2026-01-14T02:08:35Z,travel,False,False,dev_001783,GB,1824
txn_0000512,card_00788,2026-01-05T23:47:57Z,travel,False,False,dev_000537,DE,6147
txn_0000513,card_00034,2026-01-16T06:35:23Z,electronics,False,False,dev_004380,IN,10887
txn_0000514,card_00794,2026-01-15T07:49:06Z,entertainment,True,False,dev_000331,GB,3278
txn_0000515,card_00505,2026-01-04T05:12:21Z,pharmacy,True,False,dev_004925,IN,8108
txn_0000516,card_00887,2026-01-19T03:28:45Z,atm_withdrawal,True,False,dev_002658,DE,3420
txn_0000517,card_00088,2026-01-08T21:41:39Z,electronics,True,False,dev_001934,AE,8683
txn_0000518,card_00198,2026-01-06T09:18:49Z,travel,False,False,dev_000191,GB,6510
txn_0000519,card_00190,2026-01-15T06:12:49Z,fuel,True,False,dev_004569,AE,5286
txn_0000520,card_00449,2026-01-15T16:31:24Z,atm_withdrawal,True,False,dev_002375,US,12136
txn_0000521,card_00067,2026-01-25T04:45:24Z,travel,True,False,dev_003863,SG,16040
txn_0000522,card_00152,2026-01-28T14:10:27Z,restaurant,False,False,dev_003807,US,5828
txn_0000523,card_00401,2026-01-21T22:57:48Z,atm_withdrawal,False,False,dev_000982,IN,4544
txn_0000524,card_00755,2026-01-22T07:48:04Z,atm_withdrawal,False,False,dev_000032,SG,2387
txn_0000525,card_00202,2026-01-02T15:56:32Z,pharmacy,False,False,dev_001673,US,5219
txn_0000526,card_00688,2026-01-12T01:46:07Z,pharmacy,False,False,dev_000027,SG,2987
txn_0000527,card_00041,2026-01-27T07:07:49Z,entertainment,True,False,dev_001628,AE,4935
txn_0000528,card_00870,2026-01-28T15:13:28Z,online_retail,False,False,dev_000680,SG,1773
txn_0000529,card_00817,2026-01-17T04:21:17Z,pharmacy,True,False,dev_000634,IN,10438
txn_0000530,card_00412,2026-01-02T17:13:26Z,grocery,True,False,dev_000942,SG,5414
txn_0000531,card_00266,2026-01-04T01:58:33Z,grocery,False,False,dev_004473,DE,2849
txn_0000532,card_00591,2026-01-10T15:26:19Z,utilities,False,False,dev_001376,GB,11790
txn_0000533,card_00599,2026-01-29T03:03:00Z,travel,True,False,dev_000958,GB,20969
txn_0000534,card_00427,2026-01-19T07:06:37Z,electronics,True,False,dev_003949,GB,2010
txn_0000535,card_00887,2026-01-09T20:24:24Z,restaurant,False,False,dev_002957,US,2500
txn_0000536,card_00799,2026-01-22T11:29:02Z,atm_withdrawal,False,False,dev_001767,AE,11040
txn_0000537,card_00627,2026-01-06T20:40:18Z,atm_withdrawal,True,False,dev_000963,GB,8278
txn_0000538,card_00145,2026-01-25T14:30:00Z,entertainment,True,False,dev_001787,DE,30418
txn_0000539,card_00798,2026-01-18T12:37:05Z,electronics,True,False,dev_004491,DE,6392
txn_0000540,card_00753,2026-01-23T00:09:28Z,utilities,False,False,dev_001222,GB,29708
txn_0000541,card_00312,2026-01-14T22:56:57Z,grocery,False,False,dev_000316,US,14239
txn_0000542,card_00172,2026-01-24T09:24:29Z,electronics,False,False,dev_003439,SG,915
txn_0000543,card_00672,2026-01-27T17:22:19Z,entertainment,False,False,dev_000410,IN,6052
txn_0000544,card_00011,2026-01-25T18:40:50Z,atm_withdrawal,False,False,dev_000509,GB,3171
txn_0000545,card_00185,2026-01-21T04:11:09Z,pharmacy,False,False,dev_003591,DE,96307
txn_0000546,card_00587,2026-01-05T19:00:24Z,utilities,True,False,dev_003148,GB,8385
txn_0000547,card_00286,2026-01-02T13:55:48Z,travel,True,False,dev_002615,IN,3464
txn_0000548,card_00045,2026-01-06T17:43:51Z,utilities,True,False,dev_003231,AE,5110
txn_0000549,card_00184,2026-01-14T05:42:32Z,restaurant,False,False,dev_002581,SG,18035
txn_0000550,card_00480,2026-01-11T12:22:24Z,grocery,False,False,dev_003124,IN,4522
txn_0000551,card_00222,2026-01-19T09:10:29Z,atm_withdrawal,True,False,dev_004256,IN,63378
txn_0000552,card_00403,2026-01-28T03:17:05Z,entertainment,False,False,dev_002664,SG,17284
txn_0000553,card_00670,2026-01-18T10:55:47Z,pharmacy,True,False,dev_000012,SG,8659
txn_0000554,card_00106,2026-01-20T20:58:11Z,restaurant,True,False,dev_000585,DE,9297
txn_0000555,card_00880,2026-01-17T17:14:32Z,travel,True,False,dev_004665,US,2421
txn_0000556,card_00570,2026-01-02T07:37:24Z,entertainment,True,False,dev_000814,IN,26691
txn_0000557,card_00475,2026-01-16T15:17:36Z,grocery,False,False,dev_004021,IN,11750
txn_0000558,card_00717,2026-01-28T05:15:06Z,atm_withdrawal,False,False,dev_003256,DE,8757
txn_0000559,card_00116,2026-01-02T19:36:47Z,entertainment,True,False,dev_002382,GB,2706
txn_0000560,card_00881,2026-01-05T08:26:25Z,fuel,False,False,dev_002643,AE,2813
txn_0000561,card_00655,2026-01-24T22:58:26Z,restaurant,True,False,dev_002315,AE,6901
txn_0000562,card_00347,2026-01-13T16:51:00Z,fuel,False,True,dev_002002,US,11225
txn_0000563,card_00119,2026-01-06T11:43:30Z,online_retail,False,False,dev_001586,DE,6934
txn_0000564,card_00469,2026-01-29T23:42:07Z,fuel,True,False,dev_003518,AE,4414
txn_0000565,card_00517,2026-01-29T05:23:29Z,online_retail,False,False,dev_000531,US,6995
txn_0000566,card_00738,2026-01-02T12:21:02Z,restaurant,True,False,dev_002069,GB,10544
txn_0000567,card_00244,2026-01-03T22:36:03Z,online_retail,True,False,dev_004564,DE,4715
txn_0000568,card_00540,2026-01-10T16:16:29Z,online_retail,True,False,dev_004360,US,6672
txn_0000569,card_00045,2026-01-09T18:08:03Z,restaurant,True,False,dev_001642,US,22303
txn_0000570,card_00159,2026-01-30T08:24:24Z,travel,False,False,dev_000495,US,32994
txn_0000571,card_00048,2026-01-04T20:29:41Z,online_retail,True,False,dev_004236,IN,11910
txn_0000572,card_00842,2026-01-22T03:00:58Z,utilities,True,False,dev_004631,SG,11712
txn_0000573,card_00802,2026-01-26T12:20:00Z,fuel,True,False,dev_003830,DE,18513
txn_0000574,card_00236,2026-01-23T06:53:41Z,electronics,True,False,dev_003782,AE,2905
txn_0000575,card_00604,2026-01-23T02:56:00Z,entertainment,False,False,dev_001966,US,9054
txn_0000576,card_00389,2026-01-21T20:31:23Z,grocery,True,False,dev_004684,IN,3291
txn_0000577,card_00197,2026-01-28T05:34:09Z,restaurant,False,False,dev_002438,US,13896
txn_0000578,card_00470,2026-01-30T19:54:50Z,pharmacy,False,False,dev_001638,AE,16299
txn_0000579,card_00177,2026-01-19T18:32:41Z,fuel,False,False,dev_000183,DE,5300
txn_0000580,card_00862,2026-01-05T01:33:01Z,pharmacy,False,False,dev_002083,SG,25100
txn_0000581,card_00427,2026-01-26T18:45:57Z,electronics,True,False,dev_002822,SG,2547
txn_0000582,card_00736,2026-01-16T20:16:31Z,atm_withdrawal,True,False,dev_004918,SG,4355
txn_0000583,card_00617,2026-01-01T11:51:05Z,utilities,True,False,dev_003463,AE,16208
txn_0000584,card_00485,2026-01-21T06:15:32Z,grocery,False,False,dev_004811,DE,3330
txn_0000585,card_00672,2026-01-23T16:47:07Z,electronics,False,False,dev_000210,SG,9455
txn_0000586,card_00778,2026-01-24T19:10:50Z,travel,True,False,dev_003291,US,6257
txn_0000587,card_00788,2026-01-22T10:00:09Z,travel,False,False,dev_001221,GB,2225
txn_0000588,card_00456,2026-01-25T05:45:26Z,pharmacy,True,False,dev_002256,GB,4498
txn_0000589,card_00427,2026-01-05T06:16:15Z,fuel,True,False,dev_003152,DE,9635
txn_0000590,card_00398,2026-01-06T03:38:58Z,atm_withdrawal,False,False,dev_001570,IN,10249
txn_0000591,card_00670,2026-01-21T03:08:32Z,travel,False,False,dev_003540,IN,1027
txn_0000592,card_00228,2026-01-27T08:08:39Z,travel,False,False,dev_004668,IN,5774
txn_0000593,card_00183,2026-01-17T17:08:08Z,grocery,False,False,dev_004432,SG,3282
txn_0000594,card_00801,2026-01-06T04:39:21Z,fuel,False,False,dev_003724,GB,9183
txn_0000595,card_00678,2026-01-25T18:31:11Z,entertainment,True,False,dev_001645,DE,5009
txn_0000596,card_00296,2026-01-26T08:52:12Z,atm_withdrawal,True,False,dev_002833,IN,1997
txn_0000597,card_00321,2026-01-04T06:59:03Z,electronics,False,False,dev_001770,SG,13149
txn_0000598,card_00432,2026-01-02T02:17:28Z,pharmacy,True,False,dev_003672,US,5003
txn_0000599,card_00282,2026-01-03T04:08:08Z,atm_withdrawal,True,False,dev_004841,US,15588
txn_0000600,card_00005,2026-01-14T02:03:30Z,fuel,False,False,dev_004499,DE,9091
txn_0000601,card_00642,2026-01-09T22:11:09Z,grocery,False,False,dev_004584,US,1233
txn_0000602,card_00521,2026-01-06T22:07:40Z,fuel,False,False,dev_003071,AE,152442
txn_0000603,card_00423,2026-01-24T07:30:59Z,online_retail,True,False,dev_003308,GB,22398
txn_0000604,card_00356,2026-01-15T22:33:06Z,fuel,False,False,dev_000927,US,14490
txn_0000605,card_00065,2026-01-19T07:46:52Z,online_retail,True,False,dev_002348,AE,3037
txn_0000606,card_00587,2026-01-24T06:01:52Z,restaurant,False,False,dev_001129,US,29665
txn_0000607,card_00116,2026-01-28T22:25:03Z,online_retail,False,False,dev_001798,DE,1821
txn_0000608,card_00417,2026-01-30T14:58:08Z,online_retail,False,False,dev_001752,DE,27670
txn_0000609,card_00784,2026-01-21T19:03:24Z,entertainment,False,False,dev_002474,GB,1373
txn_0000610,card_00156,2026-01-14T18:57:35Z,grocery,True,False,dev_001634,SG,5761
txn_0000611,card_00755,2026-01-12T04:52:26Z,pharmacy,True,False,dev_002638,AE,8898
txn_0000612,card_00143,2026-01-20T06:04:26Z,atm_withdrawal,True,False,dev_003114,DE,9014
txn_0000613,card_00227,2026-01-26T01:03:22Z,electronics,False,False,dev_001825,US,2103
txn_0000614,card_00008,2026-01-25T05:42:46Z,grocery,True,False,dev_000669,GB,12206
txn_0000615,card_00271,2026-01-01T03:33:19Z,electronics,False,False,dev_002779,SG,4080
txn_0000616,card_00016,2026-01-06T06:17:43Z,online_retail,False,False,dev_000146,DE,15451
txn_0000617,card_00272,2026-01-14T05:16:31Z,entertainment,True,False,dev_001565,US,33961
txn_0000618,card_00648,2026-01-19T17:59:48Z,entertainment,True,False,dev_002211,GB,4853
